date,well_id,qgi_Mscfd,qo_STBd,qw_STBd,Pres_psi,Pwh_psi,Pbh_psi,GOR_scfSTB,water_cut_frac,API_gravity,perm_mD,visc_cp,depth_ft,mix_dens_lbft3,glift_eff,qg_total_Mscfd
2020-01-20,ND-001,120.05,273.0,214.7,2845.4,150.5,2674.7,634.8,0.446,28.34,283.5,1.845,9209.1,57.48,2.274,293.373
2020-01-21,ND-001,117.35,260.7,222.0,2848.9,138.6,2677.9,642.9,0.4573,28.37,281.5,1.787,9185.6,57.65,2.222,284.933
2020-01-22,ND-001,117.26,261.5,239.7,2844.2,140.8,2673.5,616.4,0.4706,28.52,272.1,1.713,9224.8,57.86,2.23,278.481
2020-01-23,ND-001,115.84,253.8,205.4,2833.3,139.9,2663.3,617.3,0.4572,28.6,283.3,1.974,9210.1,57.56,2.191,272.483
2020-01-24,ND-001,113.73,266.1,209.6,2840.1,137.0,2669.7,636.7,0.4481,28.59,288.4,1.817,9205.7,57.49,2.34,283.135
2020-01-25,ND-001,114.57,259.4,222.3,2847.5,136.2,2676.7,637.5,0.4599,28.82,283.9,1.8,9208.2,57.67,2.264,279.929
2020-01-26,ND-001,111.99,254.2,212.2,2809.2,147.6,2640.7,626.6,0.4581,28.6,291.8,1.9,9220.3,57.63,2.269,271.251
2020-01-27,ND-001,113.15,268.7,232.4,2843.7,137.7,2673.1,605.1,0.4618,28.8,282.6,1.825,9217.5,57.76,2.375,275.746
2020-01-28,ND-001,113.49,247.8,222.9,2859.9,143.7,2688.3,606.1,0.4795,28.25,289.7,1.869,9205.4,57.82,2.183,263.676
2020-01-29,ND-001,111.64,240.0,217.0,2870.6,133.8,2698.4,639.3,0.4852,28.54,285.4,1.713,9234.2,57.78,2.15,265.052
2020-01-30,ND-001,111.01,245.4,212.6,2838.1,137.2,2667.8,619.2,0.4748,28.74,285.9,1.73,9224.9,57.72,2.211,262.986
2020-01-31,ND-001,113.33,249.6,248.2,2846.5,140.3,2675.7,597.3,0.4926,28.53,296.6,1.893,9196.4,58.07,2.202,262.392
2020-02-01,ND-001,110.34,237.5,216.0,2853.3,144.1,2682.1,617.8,0.4911,28.68,288.1,1.918,9228.0,57.82,2.153,257.075
2020-02-02,ND-001,109.19,246.6,249.2,2840.9,144.2,2670.4,626.8,0.495,28.68,287.7,1.873,9199.5,58.07,2.259,263.778
2020-02-03,ND-001,108.61,245.8,248.5,2849.8,146.2,2678.8,611.0,0.5028,28.62,283.8,1.881,9209.0,58.1,2.263,258.769
2020-02-04,ND-001,107.49,251.8,237.8,2823.1,141.4,2653.7,641.8,0.4847,28.71,291.7,1.821,9206.4,57.91,2.343,269.09
2020-02-05,ND-001,111.54,243.7,205.4,2820.2,150.1,2651.0,610.1,0.4594,28.58,282.2,1.824,9218.6,57.66,2.184,260.205
2020-02-06,ND-001,111.18,252.2,240.3,2847.5,135.2,2676.6,617.4,0.4815,28.76,277.3,1.919,9218.8,57.95,2.268,266.865
2020-02-07,ND-001,110.78,251.7,229.4,2833.2,135.8,2663.2,675.7,0.4795,28.46,285.4,1.958,9196.8,57.77,2.272,280.834
2020-02-08,ND-001,107.56,262.3,233.7,2815.0,149.3,2646.1,592.8,0.4767,28.51,281.6,1.863,9226.5,57.85,2.439,263.065
2020-02-09,ND-001,104.18,232.8,222.4,2851.0,149.6,2679.9,620.9,0.4898,28.39,275.7,1.955,9210.6,57.95,2.234,248.714
2020-02-10,ND-001,108.08,230.5,248.6,2839.0,149.4,2668.7,586.2,0.5161,28.34,279.0,1.798,9209.4,58.27,2.133,243.204
2020-02-11,ND-001,105.25,226.4,238.8,2850.7,146.0,2679.7,637.8,0.5155,28.52,286.2,1.983,9211.2,58.14,2.151,249.623
2020-02-12,ND-001,106.61,241.2,237.5,2857.5,137.9,2686.0,601.3,0.4941,28.69,281.3,1.753,9175.8,58.05,2.263,251.658
2020-02-13,ND-001,108.28,239.5,218.3,2839.2,140.2,2668.9,630.8,0.4923,28.61,282.6,1.807,9221.1,57.82,2.212,259.352
2020-02-14,ND-001,106.83,228.7,212.4,2841.4,142.0,2670.9,639.9,0.4918,28.84,289.4,1.766,9197.7,57.84,2.14,253.139
2020-02-15,ND-001,102.37,232.2,237.3,2834.0,134.8,2664.0,608.1,0.5074,28.76,290.0,1.866,9210.1,58.13,2.268,243.561
2020-02-16,ND-001,102.86,232.3,231.7,2833.7,144.3,2663.7,658.1,0.5046,28.73,293.8,1.933,9206.6,58.0,2.259,255.737
2020-02-17,ND-001,102.86,228.4,247.4,2805.8,134.8,2637.4,634.0,0.5108,28.85,302.5,1.902,9201.1,58.22,2.22,247.645
2020-02-18,ND-001,100.41,238.0,222.6,2848.5,147.5,2677.6,641.9,0.4844,28.6,282.5,1.993,9214.1,57.89,2.371,253.197
2020-02-19,ND-001,100.91,211.6,250.2,2843.3,135.5,2672.7,607.1,0.5301,28.57,288.4,1.955,9214.7,58.45,2.097,229.354
2020-02-20,ND-001,102.01,242.9,264.3,2847.7,145.5,2676.9,599.9,0.5133,28.42,286.6,1.813,9221.4,58.3,2.381,247.717
2020-02-21,ND-001,103.58,230.7,239.2,2849.0,143.2,2678.0,639.3,0.5072,28.52,287.9,1.815,9210.9,58.11,2.227,251.051
2020-02-22,ND-001,103.02,203.1,225.2,2840.7,133.9,2670.2,609.2,0.5352,28.51,288.2,1.796,9229.3,58.27,1.971,226.727
2020-02-23,ND-001,103.57,211.0,236.7,2821.9,140.2,2652.6,599.2,0.5314,28.79,287.1,1.858,9203.7,58.33,2.038,230.012
2020-02-24,ND-001,105.63,248.3,247.7,2831.1,151.4,2661.2,654.5,0.5038,28.89,286.0,1.789,9191.0,58.02,2.351,268.121
2020-02-25,ND-001,99.92,229.3,249.1,2818.7,137.3,2649.6,632.6,0.5184,28.62,282.6,1.811,9218.5,58.24,2.295,245.013
2020-02-26,ND-001,103.59,217.1,245.7,2818.0,144.6,2648.9,620.7,0.5266,28.55,273.2,1.901,9187.7,58.33,2.096,238.34
2020-02-27,ND-001,104.82,217.7,238.8,2825.4,138.1,2655.9,625.4,0.5253,28.48,283.0,1.854,9224.2,58.24,2.077,240.971
2020-02-28,ND-001,106.05,217.8,260.0,2838.0,152.0,2667.7,634.0,0.5369,28.37,289.2,1.727,9242.3,58.43,2.054,244.17
2020-02-29,ND-001,107.16,222.4,260.3,2823.2,147.7,2653.8,589.5,0.5313,28.4,274.7,1.888,9198.6,58.45,2.075,238.24
2020-03-01,ND-001,106.48,210.2,259.4,2843.4,143.0,2672.8,585.7,0.5428,28.57,282.7,1.814,9201.5,58.56,1.974,229.56
2020-03-02,ND-001,104.47,224.9,218.6,2825.1,141.7,2655.6,599.3,0.4986,28.77,287.8,1.918,9230.2,58.01,2.152,239.242
2020-03-03,ND-001,104.94,217.4,261.6,2846.5,148.5,2675.8,622.1,0.5461,28.89,285.4,1.924,9212.2,58.46,2.072,240.199
2020-03-04,ND-001,104.48,196.8,269.6,2812.4,144.4,2643.7,614.4,0.5633,28.14,281.5,1.904,9204.3,58.75,1.883,225.362
2020-03-05,ND-001,102.79,196.5,262.3,2808.9,130.6,2640.4,639.8,0.5651,28.62,282.2,1.928,9210.8,58.66,1.912,228.525
2020-03-06,ND-001,100.07,215.8,238.1,2825.3,134.4,2655.8,652.0,0.5168,29.0,283.4,1.753,9192.5,58.23,2.156,240.769
2020-03-07,ND-001,101.54,213.8,246.4,2834.5,141.2,2664.4,615.6,0.5402,28.57,292.5,1.898,9228.4,58.38,2.105,233.142
2020-03-08,ND-001,98.18,212.8,238.2,2856.1,140.0,2684.8,641.7,0.5274,28.2,282.6,1.729,9214.0,58.28,2.168,234.754
2020-03-09,ND-001,94.79,210.5,244.8,2819.0,147.8,2649.9,609.3,0.5437,28.64,277.1,1.785,9205.0,58.42,2.22,223.025
2020-03-10,ND-001,93.85,195.4,225.9,2826.5,142.8,2656.9,607.4,0.5544,28.29,283.8,1.768,9201.7,58.39,2.082,212.522
2020-03-11,ND-001,94.1,209.0,244.7,2829.0,140.6,2659.3,623.8,0.5386,28.26,286.5,1.836,9207.7,58.42,2.221,224.481
2020-03-12,ND-001,96.16,199.8,240.5,2826.0,145.0,2656.4,655.0,0.5501,28.42,289.7,1.914,9197.6,58.42,2.078,227.022
2020-03-13,ND-001,94.67,205.8,246.8,2838.8,134.0,2668.4,624.4,0.5417,29.03,287.0,1.967,9195.2,58.47,2.173,223.165
2020-03-14,ND-001,94.92,202.3,242.1,2850.6,146.9,2679.6,607.1,0.5529,28.28,297.8,1.838,9202.7,58.48,2.132,217.755
2020-03-15,ND-001,95.29,206.5,245.1,2832.2,134.0,2662.3,644.6,0.5523,28.33,278.5,1.936,9191.7,58.41,2.167,228.371
2020-03-16,ND-001,98.8,203.4,262.1,2827.8,134.0,2658.2,607.8,0.5574,28.55,283.7,1.907,9216.5,58.64,2.059,222.464
2020-03-17,ND-001,96.54,196.0,244.0,2843.8,151.2,2673.1,621.4,0.5528,28.11,281.7,1.923,9191.8,58.54,2.03,218.325
2020-03-18,ND-001,97.3,193.9,254.7,2845.2,147.1,2674.5,626.5,0.5625,28.44,287.0,1.898,9206.8,58.65,1.993,218.78
2020-03-19,ND-001,97.26,208.0,254.1,2820.8,131.9,2651.5,623.3,0.55,28.35,285.5,1.798,9229.0,58.51,2.139,226.936
2020-03-20,ND-001,97.52,207.5,245.0,2811.6,141.6,2642.9,629.0,0.5414,28.46,279.0,1.744,9204.3,58.42,2.128,228.045
2020-03-21,ND-001,99.38,200.5,242.0,2810.6,143.9,2641.9,623.7,0.5484,28.54,277.5,1.704,9209.5,58.46,2.017,224.427
2020-03-22,ND-001,100.05,200.7,255.7,2847.1,135.9,2676.3,625.0,0.555,28.57,279.8,1.808,9218.5,58.58,2.006,225.463
2020-03-23,ND-001,98.93,192.7,259.2,2843.8,146.3,2673.2,646.2,0.5681,28.15,279.2,1.821,9177.5,58.67,1.948,223.439
2020-03-24,ND-001,94.65,206.6,251.1,2870.7,150.6,2698.5,611.3,0.5448,28.58,294.9,1.82,9213.8,58.52,2.183,220.93
2020-03-25,ND-001,94.31,188.0,245.9,2844.2,136.8,2673.6,643.3,0.5591,28.61,284.9,1.895,9223.1,58.62,1.993,215.251
2020-03-26,ND-001,96.63,194.7,260.3,2850.5,147.4,2679.5,642.5,0.5679,28.58,277.2,1.884,9201.1,58.67,2.015,221.752
2020-03-27,ND-001,98.73,196.8,267.8,2862.1,131.1,2690.4,639.5,0.578,28.16,294.3,1.81,9232.5,58.71,1.993,224.583
2020-03-28,ND-001,96.21,204.2,268.6,2865.5,139.8,2693.6,633.1,0.5663,28.79,282.2,1.891,9197.7,58.66,2.122,225.468
2020-03-29,ND-001,98.02,202.0,242.6,2863.8,141.7,2692.0,638.0,0.5537,29.19,282.3,1.857,9200.7,58.43,2.061,226.909
2020-03-30,ND-001,97.65,190.0,248.2,2836.1,135.3,2665.9,612.3,0.5658,28.65,285.4,1.916,9201.4,58.65,1.946,213.993
2020-03-31,ND-001,114.61,197.6,252.5,2842.2,147.3,2671.6,628.7,0.5534,28.39,285.3,1.77,9191.3,58.53,1.725,238.861
2020-04-01,ND-001,117.14,204.2,239.4,2825.8,143.7,2656.3,621.6,0.5519,28.69,282.0,1.793,9215.2,58.34,1.743,244.088
2020-04-02,ND-001,116.64,197.1,284.9,2823.5,139.4,2654.1,622.1,0.5831,28.47,280.5,1.971,9202.2,58.82,1.69,239.274
2020-04-03,ND-001,113.86,184.1,254.6,2841.3,135.3,2670.9,647.3,0.5787,28.6,286.5,1.765,9191.3,58.67,1.617,233.033
2020-04-04,ND-001,113.84,210.0,253.1,2848.7,148.6,2677.8,636.5,0.559,28.56,276.4,1.91,9221.1,58.41,1.845,247.518
2020-04-05,ND-001,116.02,187.6,255.2,2822.3,137.6,2653.0,587.8,0.5831,28.73,291.7,1.871,9219.2,58.72,1.617,226.265
2020-04-06,ND-001,115.66,206.0,273.4,2850.1,150.4,2679.1,650.7,0.5716,28.28,277.9,1.915,9214.0,58.6,1.781,249.678
2020-04-07,ND-001,114.6,201.2,247.5,2830.8,142.1,2660.9,621.0,0.566,28.66,271.0,1.836,9210.5,58.46,1.755,239.514
2020-04-08,ND-001,118.16,175.8,270.1,2840.2,142.4,2669.8,647.8,0.5952,28.54,278.4,1.8,9179.3,58.88,1.488,232.041
2020-04-09,ND-001,116.0,185.5,272.9,2812.9,136.3,2644.1,613.2,0.5997,28.67,293.1,1.947,9235.7,58.86,1.599,229.77
2020-04-10,ND-001,118.56,191.6,265.7,2808.5,150.6,2640.0,631.3,0.5755,28.33,292.8,1.875,9199.3,58.7,1.616,239.529
2020-04-11,ND-001,115.29,183.1,266.0,2866.4,140.2,2694.4,635.9,0.5947,28.06,296.6,1.927,9207.1,58.8,1.588,231.733
2020-04-12,ND-001,115.26,195.8,256.5,2839.3,139.9,2668.9,604.9,0.5653,28.45,285.8,1.82,9219.7,58.62,1.699,233.687
2020-04-13,ND-001,120.0,190.8,272.0,2830.0,146.2,2660.2,623.6,0.5953,28.64,283.3,1.853,9180.2,58.77,1.59,238.994
2020-04-14,ND-001,117.96,184.9,274.9,2812.9,138.4,2644.1,630.6,0.5858,28.52,286.0,1.809,9214.4,58.85,1.567,234.533
2020-04-15,ND-001,116.19,191.0,274.4,2851.2,141.3,2680.2,589.2,0.5865,28.67,288.1,1.93,9218.3,58.85,1.644,228.701
2020-04-16,ND-001,113.61,176.1,269.7,2847.7,141.1,2676.8,603.1,0.6069,28.02,281.7,1.812,9196.7,58.96,1.55,219.817
2020-04-17,ND-001,115.28,183.8,271.0,2845.3,146.8,2674.6,623.3,0.5924,28.88,284.3,1.923,9209.0,58.85,1.594,229.833
2020-04-18,ND-001,112.81,193.9,250.3,2850.0,144.9,2679.0,591.4,0.5794,28.66,284.3,1.856,9218.8,58.61,1.719,227.489
2020-04-19,ND-001,110.24,194.9,294.1,2818.8,140.6,2649.6,672.1,0.5913,28.75,292.8,1.799,9196.9,58.87,1.768,241.237
2020-04-20,ND-001,110.07,187.4,283.6,2817.4,141.2,2648.3,633.9,0.5926,29.18,283.4,1.947,9213.7,58.92,1.703,228.855
2020-04-21,ND-001,110.9,184.5,252.0,2845.6,140.2,2674.9,628.3,0.5766,28.26,286.6,1.848,9215.4,58.68,1.664,226.81
2020-04-22,ND-001,116.57,180.7,266.3,2822.0,145.2,2652.7,614.4,0.595,28.44,280.4,1.876,9212.1,58.85,1.55,227.574
2020-04-23,ND-001,117.93,187.9,253.8,2853.4,139.1,2682.2,602.4,0.5779,28.44,286.8,1.914,9215.1,58.67,1.593,231.111
2020-04-24,ND-001,117.97,181.4,294.5,2847.4,142.3,2676.6,622.9,0.6073,28.7,292.8,1.799,9216.4,59.06,1.537,230.948
2020-04-25,ND-001,119.13,190.5,267.1,2842.1,152.6,2671.6,608.3,0.5833,28.89,290.4,1.847,9231.2,58.75,1.599,235.042
2020-04-26,ND-001,119.2,188.4,268.7,2837.3,144.1,2667.1,635.0,0.5813,28.37,286.0,1.897,9223.3,58.75,1.581,238.842
2020-04-27,ND-001,119.58,197.2,267.1,2826.0,140.2,2656.4,635.1,0.5852,28.24,271.6,1.727,9239.5,58.65,1.649,244.811
2020-04-28,ND-001,117.49,181.8,285.4,2828.1,133.6,2658.4,639.8,0.6073,28.37,289.2,1.896,9225.9,58.96,1.547,233.784
2020-04-29,ND-001,118.43,183.0,296.1,2809.4,144.0,2640.8,639.9,0.6155,28.49,287.4,1.94,9200.2,59.03,1.545,235.537
2020-04-30,ND-001,118.88,186.2,264.2,2835.2,133.9,2665.1,616.5,0.5864,28.2,279.2,1.939,9219.4,58.76,1.566,233.647
2020-05-01,ND-001,0.0,34.2,49.9,2827.7,94.5,2658.0,606.6,0.5947,28.47,286.6,1.93,9197.8,59.23,0.0,20.717
2020-05-02,ND-001,99.33,174.7,268.6,2830.7,140.0,2660.9,622.0,0.6033,28.44,275.0,1.896,9217.3,58.98,1.759,207.997
2020-05-03,ND-001,90.52,171.0,269.4,2823.7,134.3,2654.3,644.0,0.6083,28.5,297.5,1.722,9225.5,59.03,1.889,200.655
2020-05-04,ND-001,0.0,31.0,51.1,2829.9,91.1,2660.1,601.6,0.6213,28.55,286.1,1.789,9222.0,59.5,0.0,18.645
2020-05-05,ND-001,76.42,158.1,259.1,2834.1,142.9,2664.1,593.4,0.6199,28.66,287.0,1.78,9223.8,59.22,2.068,170.211
2020-05-06,ND-001,69.4,151.5,229.5,2840.2,130.4,2669.8,645.9,0.6068,28.57,282.7,1.813,9223.3,58.98,2.183,167.263
2020-05-07,ND-001,64.18,149.8,228.7,2812.7,121.8,2644.0,620.2,0.5998,28.42,282.6,1.821,9219.5,59.05,2.334,157.063
2020-05-08,ND-001,59.0,131.7,211.8,2829.3,121.6,2659.5,634.6,0.6263,28.43,284.3,1.851,9234.7,59.13,2.232,142.563
2020-05-09,ND-001,53.04,134.0,195.6,2836.3,124.9,2666.1,651.6,0.5945,28.2,277.0,1.826,9205.7,58.92,2.527,140.354
2020-05-10,ND-001,47.79,130.4,190.1,2800.8,128.2,2632.7,604.8,0.5924,28.5,278.7,1.882,9180.1,59.0,2.728,126.639
2020-05-11,ND-001,45.41,121.4,185.8,2848.3,135.9,2677.4,608.1,0.6036,28.23,288.2,1.711,9217.6,59.1,2.674,119.263
2020-05-12,ND-001,42.47,126.2,189.5,2827.3,130.2,2657.7,658.9,0.6063,27.97,283.0,1.833,9217.1,59.01,2.971,125.618
2020-05-13,ND-001,35.77,98.9,169.7,2828.3,114.2,2658.6,642.1,0.6247,28.8,291.8,1.887,9206.4,59.31,2.765,99.273
2020-05-14,ND-001,30.51,95.3,154.4,2809.0,116.7,2640.5,631.4,0.6141,28.63,287.3,1.935,9210.9,59.23,3.123,90.654
2020-05-15,ND-001,26.4,75.7,136.2,2828.4,131.8,2658.7,634.4,0.6437,28.63,280.9,1.801,9205.1,59.43,2.867,74.428
2020-05-16,ND-001,22.68,69.0,119.3,2799.5,121.7,2631.6,655.6,0.6345,28.83,285.8,1.799,9200.3,59.33,3.042,67.901
2020-05-17,ND-001,15.94,56.0,84.1,2827.6,111.5,2657.9,579.1,0.5977,28.75,288.5,1.902,9210.3,59.16,3.513,48.38
2020-05-18,ND-001,17.22,57.3,88.1,2850.3,110.0,2679.3,622.4,0.5975,28.61,288.4,1.89,9222.3,59.13,3.329,52.917
2020-05-19,ND-001,19.01,56.7,96.9,2820.0,111.3,2650.8,586.4,0.6271,28.37,292.6,1.86,9241.8,59.4,2.981,52.239
2020-05-20,ND-001,15.43,45.2,81.7,2804.5,105.0,2636.2,621.2,0.6425,28.47,290.8,1.886,9211.9,59.46,2.931,43.533
2020-05-21,ND-001,16.35,50.9,89.9,2833.6,121.4,2663.6,639.2,0.6254,28.39,292.4,1.762,9205.7,59.4,3.113,48.893
2020-05-22,ND-001,16.91,56.9,99.3,2802.4,111.3,2634.3,606.5,0.6318,28.42,282.2,1.908,9209.4,59.44,3.364,51.397
2020-05-23,ND-001,15.0,46.8,84.8,2810.3,113.1,2641.7,646.6,0.6382,28.31,289.0,1.969,9218.7,59.44,3.118,45.245
2020-05-24,ND-001,15.0,50.0,87.6,2831.3,105.0,2661.4,616.5,0.6309,28.42,287.1,1.805,9236.0,59.43,3.335,45.841
2020-05-25,ND-001,15.0,47.5,79.6,2812.7,118.6,2643.9,608.9,0.6328,28.52,284.3,1.888,9187.7,59.33,3.167,43.923
2020-05-26,ND-001,15.0,46.9,79.3,2826.8,110.6,2657.2,602.1,0.6331,28.64,273.1,1.755,9205.5,59.36,3.127,43.245
2020-05-27,ND-001,15.0,44.5,77.6,2828.1,116.8,2658.4,629.0,0.6347,28.71,282.9,1.86,9210.4,59.38,2.969,43.015
2020-05-28,ND-001,15.0,44.5,82.2,2810.1,110.3,2641.5,618.6,0.6511,28.42,270.7,1.808,9196.4,59.52,2.968,42.536
2020-05-29,ND-001,15.0,49.8,85.8,2839.1,118.5,2668.7,645.4,0.6259,28.34,289.3,1.863,9216.8,59.35,3.318,47.119
2020-05-30,ND-001,15.0,43.9,89.7,2803.7,120.0,2635.5,622.3,0.6626,28.3,281.3,1.812,9204.3,59.72,2.929,42.338
2020-05-31,ND-001,15.0,50.1,79.6,2828.2,105.2,2658.5,628.2,0.6284,28.8,292.0,1.829,9225.4,59.2,3.339,46.465
2020-06-01,ND-001,15.0,45.8,77.7,2837.0,108.6,2666.8,615.1,0.6241,28.29,286.1,1.931,9225.9,59.35,3.052,43.155
2020-06-02,ND-001,15.0,46.7,81.6,2805.3,118.6,2637.0,613.4,0.6372,28.56,287.3,1.792,9223.0,59.42,3.111,43.63
2020-06-03,ND-001,15.0,49.4,78.8,2846.1,110.8,2675.3,640.6,0.609,28.47,293.1,1.883,9207.1,59.19,3.292,46.627
2020-06-04,ND-001,15.0,49.8,84.1,2803.7,107.5,2635.4,616.0,0.6309,28.21,276.4,1.843,9232.1,59.35,3.317,45.656
2020-06-05,ND-001,15.0,47.4,82.9,2826.6,113.2,2657.0,661.2,0.6297,28.59,283.1,1.771,9198.9,59.35,3.158,46.323
2020-06-06,ND-001,15.0,44.4,83.3,2843.6,110.7,2673.0,618.6,0.6529,28.39,276.1,1.827,9214.9,59.55,2.958,42.445
2020-06-07,ND-001,15.0,45.7,86.5,2812.7,108.6,2644.0,627.0,0.6574,28.83,293.0,2.006,9201.9,59.56,3.045,43.638
2020-06-08,ND-001,15.0,45.7,87.9,2842.6,107.3,2672.0,618.0,0.6582,28.52,279.8,1.795,9213.4,59.61,3.049,43.265
2020-06-09,ND-001,15.0,43.8,85.8,2843.1,106.8,2672.5,629.2,0.6651,28.62,282.7,1.9,9214.8,59.62,2.921,42.569
2020-06-10,ND-001,15.0,43.6,81.9,2840.5,103.9,2670.0,614.1,0.659,28.57,277.9,1.898,9219.0,59.56,2.904,41.748
2020-06-11,ND-001,15.0,47.4,87.3,2843.8,116.1,2673.1,608.3,0.6406,28.25,280.5,1.843,9199.8,59.54,3.161,43.848
2020-06-12,ND-001,15.0,46.4,82.7,2837.5,110.2,2667.3,613.8,0.6448,28.19,282.3,1.872,9194.9,59.45,3.093,43.482
2020-06-13,ND-001,15.0,45.2,87.0,2837.8,117.7,2667.5,617.1,0.6624,28.23,285.2,1.795,9224.8,59.61,3.015,42.904
2020-06-14,ND-001,15.0,47.1,85.9,2813.3,108.8,2644.5,641.0,0.6479,28.03,279.1,1.904,9210.9,59.47,3.137,45.162
2020-06-15,ND-001,15.0,43.3,86.1,2814.0,116.9,2645.1,606.3,0.6647,28.8,280.6,1.845,9215.5,59.68,2.888,41.262
2020-06-16,ND-001,15.0,43.4,85.3,2843.0,115.8,2672.4,593.2,0.656,28.2,281.0,1.83,9219.3,59.68,2.89,40.717
2020-06-17,ND-001,15.0,43.0,80.9,2830.5,108.8,2660.6,629.2,0.6506,28.88,284.3,1.856,9204.0,59.53,2.867,42.057
2020-06-18,ND-001,15.0,41.8,82.7,2829.4,117.3,2659.6,609.9,0.6706,28.83,285.6,1.834,9237.0,59.66,2.79,40.524
2020-06-19,ND-001,15.0,46.2,84.0,2837.4,109.4,2667.1,633.3,0.6423,28.17,274.5,2.013,9244.3,59.47,3.082,44.278
2020-06-20,ND-001,15.0,46.0,82.8,2802.5,108.5,2634.4,578.0,0.6453,28.82,287.9,1.873,9205.8,59.53,3.068,41.601
2020-06-21,ND-001,15.0,47.3,86.6,2804.1,107.5,2635.8,633.5,0.6426,28.74,273.7,1.913,9197.4,59.49,3.15,44.937
2020-06-22,ND-001,15.0,44.2,85.2,2821.0,108.2,2651.7,622.5,0.6613,28.38,284.0,1.729,9215.7,59.6,2.947,42.519
2020-06-23,ND-001,15.0,43.1,85.0,2818.2,119.7,2649.1,637.5,0.6679,28.38,282.2,1.953,9200.2,59.62,2.877,42.508
2020-06-24,ND-001,15.0,43.7,90.0,2846.0,119.1,2675.2,621.4,0.6656,28.5,281.5,1.845,9219.7,59.74,2.913,42.148
2020-06-25,ND-001,15.0,47.8,79.7,2825.4,114.8,2655.8,606.6,0.6361,28.31,291.9,1.849,9203.1,59.33,3.188,44.001
2020-06-26,ND-001,15.0,45.9,85.7,2789.6,107.8,2622.2,647.8,0.652,28.31,294.2,1.866,9186.5,59.5,3.059,44.726
2020-06-27,ND-001,15.0,47.3,88.3,2782.6,110.1,2615.6,644.7,0.6413,28.8,289.0,1.846,9220.4,59.51,3.153,45.495
2020-06-28,ND-001,15.0,42.4,87.5,2810.1,111.0,2641.5,636.5,0.6791,28.34,282.4,1.738,9217.8,59.71,2.828,42.003
2020-06-29,ND-001,15.0,44.2,88.2,2819.2,107.9,2650.0,625.8,0.6635,28.83,278.1,1.799,9215.6,59.67,2.947,42.663
